,Serving,Win,Service,dir_srv,Surface,isAce,count
311,Receiving,Win,1st,Wide,Hard,False,1
312,Receiving,Loss,1st,Wide,Hard,False,1
313,Receiving,Loss,1st,Wide,Hard,False,1
314,Receiving,Loss,1st,Down the T,Hard,True,1
315,Serving,Win,1st,Wide,Hard,False,1
316,Serving,Win,1st,Wide,Hard,False,1
317,Serving,Loss,2nd,Wide,Hard,False,1
318,Serving,Loss,2nd,Body,Hard,False,1
319,Serving,Loss,2nd,Wide,Hard,False,1
320,Serving,Win,2nd,Body,Hard,False,1
321,Serving,Win,1st,Wide,Hard,True,1
322,Serving,Win,1st,Wide,Hard,False,1
323,Receiving,Loss,1st,Wide,Hard,False,1
324,Receiving,Win,1st,Down the T,Hard,False,1
325,Receiving,Win,1st,Wide,Hard,False,1
326,Receiving,Loss,1st,Down the T,Hard,False,1
327,Receiving,Loss,1st,Wide,Hard,False,1
328,Receiving,Win,1st,Wide,Hard,False,1
329,Receiving,Win,2nd,Wide,Hard,False,1
330,Receiving,Win,2nd,Wide,Hard,False,1
331,Serving,Win,1st,Body,Hard,False,1
332,Serving,Win,1st,Wide,Hard,False,1
333,Serving,Loss,2nd,Body,Hard,False,1
334,Serving,Win,1st,Wide,Hard,False,1
335,Serving,Loss,2nd,Wide,Hard,False,1
336,Serving,Win,1st,Down the T,Hard,False,1
337,Receiving,Loss,1st,Down the T,Hard,False,1
338,Receiving,Loss,1st,Wide,Hard,True,1
339,Receiving,Loss,1st,Wide,Hard,True,1
340,Receiving,Win,1st,Down the T,Hard,False,1
341,Receiving,Loss,1st,Down the T,Hard,False,1
342,Serving,Loss,2nd,Body,Hard,False,1
343,Serving,Win,1st,Wide,Hard,False,1
344,Serving,Win,2nd,Wide,Hard,False,1
345,Serving,Win,1st,Down the T,Hard,False,1
346,Serving,Win,1st,Wide,Hard,False,1
347,Receiving,Loss,1st,Down the T,Hard,False,1
348,Receiving,Loss,2nd,Wide,Hard,False,1
349,Receiving,Win,2nd,Wide,Hard,False,1
350,Receiving,Win,2nd,Wide,Hard,False,1
351,Receiving,Loss,1st,Wide,Hard,False,1
352,Receiving,Win,1st,Wide,Hard,False,1
353,Receiving,Win,1st,Down the T,Hard,False,1
354,Receiving,Loss,1st,Down the T,Hard,False,1
355,Receiving,Loss,1st,Down the T,Hard,False,1
356,Receiving,Loss,1st,Down the T,Hard,False,1
357,Serving,Win,2nd,Wide,Hard,False,1
358,Serving,Win,1st,Wide,Hard,False,1
359,Serving,Loss,1st,Wide,Hard,False,1
360,Serving,Win,1st,Wide,Hard,False,1
362,Receiving,Loss,1st,Wide,Hard,False,1
363,Receiving,Loss,1st,Down the T,Hard,True,1
364,Receiving,Win,1st,Down the T,Hard,False,1
365,Receiving,Win,1st,Wide,Hard,False,1
366,Receiving,Loss,1st,Down the T,Hard,False,1
367,Receiving,Win,1st,Down the T,Hard,False,1
368,Receiving,Loss,2nd,Down the T,Hard,False,1
369,Receiving,Loss,1st,Wide,Hard,False,1
370,Serving,Win,1st,Wide,Hard,False,1
371,Serving,Win,2nd,Body,Hard,False,1
372,Serving,Win,1st,Wide,Hard,True,1
373,Serving,Win,2nd,Wide,Hard,False,1
374,Receiving,Win,1st,Wide,Hard,False,1
375,Receiving,Loss,2nd,Down the T,Hard,False,1
376,Receiving,Loss,1st,Down the T,Hard,False,1
377,Receiving,Loss,1st,Down the T,Hard,False,1
378,Receiving,Win,1st,Wide,Hard,False,1
379,Receiving,Loss,2nd,Wide,Hard,False,1
380,Serving,Win,2nd,Wide,Hard,False,1
382,Serving,Win,1st,Down the T,Hard,False,1
383,Serving,Win,1st,Wide,Hard,False,1
385,Receiving,Win,1st,Down the T,Hard,False,1
386,Receiving,Loss,1st,Down the T,Hard,False,1
387,Receiving,Loss,1st,Down the T,Hard,False,1
388,Receiving,Win,1st,Wide,Hard,False,1
389,Receiving,Win,1st,Wide,Hard,False,1
390,Receiving,Loss,1st,Down the T,Hard,False,1
391,Receiving,Loss,1st,Wide,Hard,False,1
392,Receiving,Loss,1st,Down the T,Hard,True,1
393,Serving,Loss,1st,Wide,Hard,False,1
394,Serving,Win,2nd,Down the T,Hard,False,1
395,Serving,Win,1st,Wide,Hard,False,1
396,Serving,Loss,1st,Body,Hard,False,1
397,Serving,Loss,2nd,Wide,Hard,False,1
398,Serving,Win,1st,Wide,Hard,False,1
399,Serving,Loss,2nd,Wide,Hard,False,1
400,Serving,Win,1st,Down the T,Hard,True,1
401,Serving,Loss,1st,Down the T,Hard,False,1
402,Serving,Win,1st,Down the T,Hard,False,1
403,Serving,Win,1st,Wide,Hard,False,1
404,Serving,Win,1st,Down the T,Hard,False,1
405,Receiving,Loss,1st,Wide,Hard,False,1
406,Receiving,Win,2nd,Wide,Hard,False,1
407,Receiving,Win,2nd,Down the T,Hard,False,1
408,Receiving,Loss,1st,Wide,Hard,False,1
409,Receiving,Loss,1st,Down the T,Hard,True,1
410,Receiving,Loss,1st,Down the T,Hard,False,1
411,Serving,Win,1st,Wide,Hard,True,1
412,Serving,Win,1st,Down the T,Hard,False,1
413,Serving,Loss,2nd,Body,Hard,False,1
414,Serving,Win,2nd,Down the T,Hard,False,1
415,Serving,Win,2nd,Down the T,Hard,False,1
416,Receiving,Win,1st,Wide,Hard,False,1
417,Serving,Loss,1st,Down the T,Hard,False,1
418,Serving,Win,1st,Down the T,Hard,False,1
419,Receiving,Loss,1st,Wide,Hard,False,1
420,Receiving,Loss,2nd,Wide,Hard,False,1
421,Serving,Loss,2nd,Down the T,Hard,False,1
422,Serving,Win,1st,Wide,Hard,False,1
423,Receiving,Loss,1st,Wide,Hard,True,1
424,Receiving,Win,1st,Down the T,Hard,False,1
425,Serving,Win,1st,Down the T,Hard,False,1
426,Serving,Loss,1st,Wide,Hard,False,1
427,Receiving,Loss,1st,Down the T,Hard,False,1
428,Serving,Win,1st,Wide,Hard,False,1
429,Serving,Win,2nd,Wide,Hard,False,1
